Gewaesser,Einheit,Zeit,Datum,Wert_Aktuell,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aa-Stegen-Wetzikon,l/s,14:45,07.09.2024,52,1'854,-1'802.4,228,1'862,47
Aabach-Käpfnach,l/s,14:40,07.09.2024,48,499,-451.0,158,499,48
Aabach-Mönchaltorf,m3/s,14:40,07.09.2024,0.33,0.37,-0.035,0.33,0.37,0.28
Aabach-Niederuster,m3/s,14:40,07.09.2024,0.38,2.06,-1.673,0.70,2.26,0.29
Abistbach-Marthalen HW-RB,müM,14:40,07.09.2024,398.86,398.86,-0.003,398.86,398.86,398.86
Altbach-Bassersdorf,l/s,14:40,07.09.2024,131,134,-2.6,138,208,126
"Altbach Kloten, Schaffhauserstr.",m3/s,14:40,07.09.2024,0.09,0.08,0.005,0.08,0.09,0.08
Chämtnerbach-Wetzikon,l/s,14:40,07.09.2024,69,80,-11.0,79,89,69
Chatzenb.-Turb.-Becken,müM,14:40,07.09.2024,566.32,566.32,-0.001,566.32,566.33,566.32
Chrattenweiher-Wetzikon,m,12:00,07.09.2024,1.59,1.59,-0.001,1.59,1.59,1.59
Dorfbach-Maur,l/s,14:00,07.09.2024,6,7,-0.5,7,8,6
Dorfbach-Meilen,l/s,14:40,07.09.2024,18,21,-3.0,18,21,17
Eulach-Räterschen,m3/s,14:45,07.09.2024,0.12,0.12,0.004,0.12,0.13,0.11
Eulach-Winterthur,m3/s,14:45,07.09.2024,0.23,0.23,0.000,0.23,0.36,0.15
Eulach-Wülflingen,m3/s,14:40,07.09.2024,0.19,0.20,-0.003,0.16,0.22,0.11
Fischbach-Niederglatt,müM,14:30,07.09.2024,409.08,409.09,-0.012,409.08,409.10,409.06
Furtbach Wüeri Buchs HW-RB,müM,14:45,07.09.2024,421.74,421.71,0.028,421.71,421.74,421.64
Furtbach-Würenlos,l/s,14:40,07.09.2024,246,261,-14.4,261,279,243
Geisslibach-Furtmüli,l/s,13:00,07.09.2024,162,166,-4.0,160,184,151
Glatt-Dübendorf,m3/s,14:40,07.09.2024,2.56,2.69,-0.126,2.62,2.71,2.52
Glatt Oberglatt,müM,14:10,07.09.2024,413.05,413.06,-0.018,413.05,413.07,413.03
Glatt-Rheinsfelden (BAFU),m3/s,14:40,07.09.2024,4.60,4.86,-0.258,4.62,4.89,4.35
Glatt Rümlang,müM,14:40,07.09.2024,416.27,416.28,-0.009,416.27,416.28,416.27
Glatt Schwerzenbach,müM,07:00,03.09.2024,434.79,434.80,-0.005,434.80,434.81,434.79
Glatt Wuhrbrücke,m3/s,13:00,07.09.2024,2.42,2.55,-0.130,2.53,2.61,2.42
Greifensee,müM,14:40,07.09.2024,435.29,435.29,-0.002,435.30,435.32,435.27
Haselbach-Bäckental HW-RB,müM,14:45,07.09.2024,413.04,413.07,-0.030,413.05,413.07,413.04
Haselbach-Maschwanden,l/s,14:40,07.09.2024,292,370,-78.0,327,376,292
Haselbach-Mettmenstetten,l/s,14:40,07.09.2024,93,128,-34.9,108,132,89
Hüttnersee Hütten b. Auslauf,m,07:00,07.09.2024,1.83,1.85,-0.022,1.84,1.85,1.83
Jona-Pilgersteg,m3/s,14:40,07.09.2024,0.21,0.24,-0.030,0.22,0.24,0.20
Jona-Rüti,m3/s,14:40,07.09.2024,0.47,0.48,-0.017,0.46,0.49,0.37
Jonen-Affoltern a/A HW-RB,müM,14:40,07.09.2024,497.12,497.20,-0.073,497.16,497.20,497.12
Jonen-Zwillikon,m3/s,14:40,07.09.2024,0.34,0.56,-0.219,0.42,0.56,0.34
Katzensee,müM,13:10,07.09.2024,439.00,439.00,-0.005,439.00,439.00,439.00
Kempt-Fehraltorf,l/s,14:40,07.09.2024,113,117,-4.8,115,120,113
Kempt-Illnau,m3/s,14:40,07.09.2024,0.35,0.37,-0.020,0.35,0.38,0.31
Kempt-Winterthur,m3/s,14:40,07.09.2024,0.39,0.41,-0.025,0.40,0.44,0.36
Limmat-Unterhard,m3/s,14:30,07.09.2024,42.75,53.13,-10.382,49.91,53.66,42.59
Lützelsee,m,14:40,07.09.2024,1.52,1.55,-0.030,1.53,1.55,1.51
Lützelsee-OW-Abfluss l/s,l/s,14:40,07.09.2024,51,74,-23.7,61,74,49
Lützelsee-TW-Abfluss l/s,l/s,14:30,07.09.2024,23,24,-1.3,23,24,23
Mederbach-Marthalen,l/s,14:40,07.09.2024,79,88,-8.6,80,88,69
Mülibach-Esslingen HW-RB,müM,14:55,07.09.2024,461.44,461.45,-0.008,461.44,461.45,461.44
Mülibach-Rietmüli,l/s,14:00,07.09.2024,91,93,-2.4,92,96,88
Näfbach-Neftenbach,m3/s,14:00,07.09.2024,0.17,0.17,0.003,0.16,0.17,0.15
Pfäffikersee,müM,14:30,07.09.2024,536.78,536.79,-0.006,536.78,536.79,536.78
Reppisch-Birmensdorf,m3/s,14:45,07.09.2024,0.12,0.19,-0.071,0.15,0.19,0.12
Reppisch-Dietikon,m3/s,14:45,07.09.2024,0.49,0.69,-0.205,0.52,0.68,0.45
Rhein Rüdlingen,müM,14:30,07.09.2024,343.73,343.69,0.038,343.71,343.73,343.69
Riedbach-Hegmatten / HW-RB,müM,14:45,07.09.2024,454.62,454.62,-0.002,454.62,454.62,454.62
Schwarzbach Rickenbach Kellersgasse,m3/s,14:00,07.09.2024,0.05,0.06,-0.001,0.05,0.06,0.05
Schwarzbach-Rickenbach HW-RB,müM,14:40,07.09.2024,416.23,416.23,0.004,416.23,416.24,416.22
Sihl-Blattwag,m3/s,14:50,07.09.2024,2.17,2.25,-0.086,2.25,2.30,2.17
Surb-Niederweningen,l/s,14:40,07.09.2024,94,98,-4.1,95,100,88
"Töss-Altlandenb.,Bauma",m3/s,14:40,07.09.2024,0.10,0.11,-0.004,0.10,0.11,0.09
Töss-Beicher,m3/s,14:00,07.09.2024,0.05,0.07,-0.020,0.06,0.07,0.05
Töss-Freienstein,m3/s,14:40,07.09.2024,3.34,3.51,-0.168,3.28,3.83,2.65
Töss-Hornsäge,m3/s,14:00,07.09.2024,0.33,0.37,-0.040,0.37,0.40,0.33
Töss-Rämismühle,m3/s,14:50,07.09.2024,0.66,0.54,0.116,0.54,0.67,0.52
Töss-Wülflingen,m3/s,14:40,07.09.2024,1.43,1.36,0.079,1.38,1.56,1.20
Türlersee,müM,13:30,07.09.2024,644.24,644.25,-0.004,644.25,644.25,644.24
Türlersee Abfluss,l/s,13:00,07.09.2024,48,55,-7.1,52,56,48
"Wildbach-Grosswies, Wetzikon",müM,14:40,07.09.2024,532.98,532.99,-0.007,532.99,532.99,532.98
Wildbach-Wetzikon,m3/s,14:40,07.09.2024,0.12,0.15,-0.023,0.13,0.17,0.08
Zürichsee-Oberrieden,müM,14:30,07.09.2024,405.93,405.95,-0.019,405.94,405.95,405.93
